"('Introdução', 'Uma Empresa Júnior consiste em uma associação com fins educacionais formada exclusivamente por alunos de ensino superior ou técnico.\xa0Estas empresas auxiliam na formação de nossos alunos oferecendo-lhes a oportunidade de adquirir experiência profissional em tempo de graduação, contribuindo em uma melhor preparação destes para o mercado de trabalho.', '')"
"('Eletronjun', 'A EletronJun é a pioneira entre as empresas-juniores dos cursos de engenharia da Faculdade do Gama, sendo gerida por alunos da mesma. Foca-se em aliar a teoria estudada em sala de aula com práticas em diversas áreas tanto na própria engenharia em si quanto em gestão e admnistração, visando colaborar com a capacitação do estudante para atuar nas mais diversas áreas que estão disponíveis no mercado de trabalho.', '')"
"('Orcestra', ""A Orc'estra é uma empresa júnior, formada e gerida por alunos de Engenharia de Software da Universidade de Brasília - Faculdade\xa0 Gama, criada para que esses alunos possam colocar em prática tudo o que aprendem em suas aulas, além de ter um primeiro contato com o mercado de trabalho."", '')"
"('Matriz Energia', 'A Matriz Engenharia de Energia nasceu em 2015 com o ideal de trazer a seus clientes produtos e serviços exclusivos na área de energia e sustentabilidade, voltada à redução de custos com energia, visando buscar a excelência e superar suas expectativas.', '')"
"('Zenit Aerospace', 'A Zenit Aerospace é uma empresa júnior formada por alunos de graduação da Universidade de Brasília (UnB), que possuem o desejo comum de promover o avanço da tecnologia aeroespacial no Brasil e no mundo.', '')"
"('Engrena', 'A Engrena: Soluções em Engenharia é a primeira e única empresa júnior de Engenharia Automotiva do Brasil. Criada por estudantes da Universidade de Brasília - Faculdade do Gama com o objetivo de colocar em prática o aprendizado em sala, prestam serviços de qualidade a seus clientes e promovem um aprendizado focado no mercado de trabalho automobilístico, colaborando para uma melhor atuação nas diversas áreas das engenharias - em especial, a automotiva.', '')"
